idDatosDiezminutales,wtg_Idn,Naerogenerador,dtFecha,dPotTotal,dPotReact,dVelVientoF1sg,dCosPhi,dTempGen,dPosNacelle,ET_Availability2Avg,dTempAmbiente,dDirViento,dVelGenerador,dPresGH,dPitch
14417718,SL01,1,1/1/2023 0:00,213.367,-31.6204,5.317,0.9847,83.548,26.6313,100,27.7348,0.0601,1300.5722,189.892,0.0747
14417719,SL01,1,1/1/2023 0:10,172.0145,-34.4831,4.8597,0.9665,83.2125,25.4164,100,27.76,0.3105,1269.7057,189.5171,0.519
14417876,SL01,1,1/1/2023 0:20,193.326,-34.1017,5.103,0.9778,82.8509,31.519,100,27.7699,354.782,1281.4299,190.579,0.2823
14417877,SL01,1,1/1/2023 0:30,160.734,-31.0248,4.8287,0.9747,82.4788,23.5938,100,27.7112,3.2459,1262.4843,189.9752,0.55
14417878,SL01,1,1/1/2023 0:40,200.7766,-28.495,5.0857,0.9862,82.3236,23.5938,100,27.681,358.7787,1293.2396,190.0334,0.3443
14417879,SL01,1,1/1/2023 0:50,306.3051,-28.2815,5.779,0.9941,82.4261,23.5938,100,27.626,355.0585,1403.2608,190.2467,-0.114
14417880,SL01,1,1/1/2023 1:00,321.496,-32.7592,5.887,0.9934,82.4321,11.7448,100,27.4762,4.2638,1425.9964,189.5996,-0.1497
14417881,SL01,1,1/1/2023 1:10,425.1533,-33.411,6.1817,0.9906,82.1359,26.5387,100,27.5428,1.3672,1567.2422,189.8252,0.2183
14418038,SL01,1,1/1/2023 1:20,783.6863,-34.8025,7.809,0.9984,82.6135,28.4375,100,27.8764,1.6549,1885.8328,189.5541,-0.2307
14418039,SL01,1,1/1/2023 1:30,436.8849,-30.9727,6.3353,0.9965,83.0284,28.4375,100,27.7004,357.3985,1553.3353,189.419,-0.0827
14418040,SL01,1,1/1/2023 1:40,382.1764,-29.9771,6.2097,0.996,83.0674,28.4375,100,27.6415,355.2769,1506.2377,189.043,-0.156
14418041,SL01,1,1/1/2023 1:50,432.2526,-31.7579,6.2857,0.9963,82.8811,17.9915,100,27.5702,359.1999,1553.7691,190.0081,-0.061
14418042,SL01,1,1/1/2023 2:00,250.4863,-33.8217,5.2223,0.9881,82.9653,15.7812,100,27.5646,5.8922,1329.4918,189.4643,0.3596
14418043,SL01,1,1/1/2023 2:10,362.4009,-32.7567,5.8233,0.994,82.8801,22.8808,100,27.6368,0.5152,1485.3969,189.6198,0.2956
14418200,SL01,1,1/1/2023 2:20,542.6807,-37.8473,6.7683,0.996,82.4976,22.9688,100,27.7044,357.8496,1676.0008,189.9524,0.0103
14418201,SL01,1,1/1/2023 2:30,489.0515,-48.2967,6.6033,0.9935,82.529,22.9688,100,27.6354,359.472,1620.8577,190.3338,-0.135
14418202,SL01,1,1/1/2023 2:40,407.6183,-40.1575,6.1837,0.9939,82.6165,22.9688,100,27.608,355.8687,1532.0101,190.3968,0.0286
14418203,SL01,1,1/1/2023 2:50,347.1702,-36.9277,5.704,0.993,82.6859,22.9688,100,27.5265,357.6067,1456.9151,189.7349,0.266
